CONTENTID,CONTENTTYPEID,CAT1,CAT2,CAT3,TITLE,SIDOCODE,SIGUNGUCODE,ADDRESS,CREATEDTIME,MODIFIEDTIME,MAPX,MAPY,MLEVEL,FIRSTIMAGE,MCATEGORY,SCATEGORY,SEARCHCOUNT,OVERVIEW
2832867,39,A05,A0502,A05020300,키누카누,1,1004,"서울특별시 강서구 공항대로 247 퀸즈파크나인 b103, b104호",20220805105530,20220805105539,126.8352537286,37.5593664069,6.0,http://tong.visitkorea.or.kr/cms/resource/54/2832854_image2_1.jpg,음식,외국식,26645,"키누카누는 발산역 인근에 있는 뷔페식 스시 전문 맛집이다.
저렴한 가격에 한 번, 맛에 또 한 번 놀라는 가성비 최고의 스시 전문점이다. 
메뉴는 영업시간에 따라 간단하게 구성돼 있다. 
스시 뷔페의 특징을 잘 살리고 있으며 가족, 직장인들이 많이 찾는 곳이다. 
키누카누 이름은 떠다니는 빙산을 의미하는 캐나다 원주민의 언어 키우와 노로 젓는 작은 배 카누가 결합한 것이다."
2752554,39,A05,A0502,A05020200,스케줄청담,1,1001,서울특별시 강남구 선릉로152길 37 (청담동),20211001232014,20230116142324,127.0426969138,37.5246935939,6.0,,음식,전문음식,26254,"스케줄청담(Schedule Chungdam)은 고급스러운 인테리어와 소품들로 꾸며진 분위기 레스토랑이다. 파스타, 리조또, 스테이크 등 기본 식사메뉴와 디저트, 와인과 페어링할 수 있는 음식까지 다양한 메뉴가 준비되어 있다. 식당 내부 공간뿐 아니라 야외 테라스 공간도 인스타그램 포토존으로 유명하다."
403995,39,A05,A0502,A05020100,진주집,1,1020,서울특별시 영등포구 국제금융로6길 33 ,20080120072631,20230228142028,126.9269103478,37.5207864162,6.0,http://tong.visitkorea.or.kr/cms/resource/70/401170_image2_1.jpg,음식,한식,24969,여의도백화점 지하 식당가에 위치한 진주집은 콩국수 맛있기로 소문난 곳이다. 진하고 걸쭉한 콩국은 특유의 고소하고 부드러운 맛을 잘 살려냈다. 여기에 쫄깃한 면발과 배추 겉절이가 어울려 깊고 풍부한 맛을 낸다. 업무중심가에 위치하므로 일요일과 공휴일은 휴무일이다.
570596,39,A05,A0502,A05020200,63뷔페파빌리온,1,1020,서울특별시 영등포구 63로 50 ,20080605021422,20230116170126,126.9401647239,37.5198034342,6.0,,음식,전문음식,22891,"국내 최대 규모의 뷔페식 레스토랑으로 프리미엄 뷔페 레스토랑 중에서 가장 많은 고객 수를 자랑하고 있으며, 500석의 좌석과 200여 가지 세계 각국의 요리 등 규모와 요리의 종류에서도 단연 국내 최대로 꼽힌다. 샐러드에서 한식, 중식, 일식, 양식 같은 즉석요리까지 다양한 종류와 맛으로 미식가들 사이에서 정평이 나 있다. 신선한 친환경 식재료를 사용해 웰빙 뷔페를 선두하고 있으며, 권위 있는 세계 요리 대회에서 수상한 우수한 실력의 조리진을 갖추고 있다. 자연 채광의 인테리어와 친환경 식자재를 사용하는 등 자연 친화적인 레스토랑을 표방하고 있다. 매스티지 콘셉트를 도입, 대중적이면서도 고급화된 이미지를 선보인다."
2762857,39,A05,A0502,A05020100,101번지남산돈까스본점,1,1024,서울특별시 중구 소파로 101 (남산동2가),20211027000559,20231024092607,126.9857817384,37.557013817,6.0,,음식,전문음식,22823,"남산 주변에는 남산돈까스라는 이름의 식당이 많다 보니 구별하기 쉽게 식당 이름에 아예 식당 주소의 번지수 101을 넣은 돈가스 전문점이다. 남산왕돈가스, 매운돈가스, 치즈돈가스 등 다양한 종류의 돈가스와 생선가스, 모둠정식, 냉메밀 등을 판매한다. 돈가스가 나오기 전에 수프가 제공되며, 돈가스의 느끼함을 덜어주는 초록 고추를 쌈장과 함께 제공한다. 방송에 소개되어 입소문을 타고 오는 사람들이 많다. 남산 순환로 남산백범광장 맞은편에 있다."
578330,39,A05,A0502,A05020100,진주회관,1,1024,서울특별시 중구 세종대로11길 26 ,20080621030824,20230808134013,126.9745492782,37.56232411,6.0,http://tong.visitkorea.or.kr/cms/resource/28/1291528_image2_1.jpg,음식,한식,22783,진주회관은 서울 중구 시청역 인근에 위치한 국수 전문점으로 40년 전통의 걸쭉하고 진한 냉콩국수로 유명한 집이다. 강원도 일대에서 생산되는 순수 우리나라 토종 황태콩으로만 계약 재배하여 만드는 영양만점의 콩국수이다. 콩국물이 진하고 고소하며 쫀득한 면발과 어우러지며 함께 제공되는 김치는 톡 쏘는 맛이 나며 별미라고 한다. 서울에서 콩국수의 진한 맛을 느끼고 싶다면 이곳을 추천한다.
2873293,39,A05,A0502,A05020100,성북동면옥집,1,1017,서울특별시 성북구 대사관로 40 ,20221024144643,20221202160456,126.9886470404,37.5959482318,6.0,http://tong.visitkorea.or.kr/cms/resource/67/2873267_image2_1.jpg,음식,한식,22358,"성북동 면옥집은 방송에 여러 번 소개된 맛집이다. 갈비찜과 비빔냉면이 이곳의 대표 메뉴다. 왕갈비찜은 양에따라 진, 선, 미로 구분한다. 양념이 전체적으로 자극적이지 않다. 사이드 메뉴로 회냉면이 있다. 성북동빵공장이 바로 옆이고, 주변에 길상사, 와룡공원 등이 있어 함께 둘러보기 좋다."
132822,39,A05,A0502,A05020100,오장동함흥냉면,1,1024,서울특별시 중구 마른내로 108 (오장동),20040219090000,20221201152129,126.9998469178,37.5642687824,6.0,http://tong.visitkorea.or.kr/cms/resource/28/771628_image2_1.jpg,음식,한식,21916,"서울 2호선 동대문역사문화공원역 근처에 위치한 함흥냉면 전문점이다. 1950년대 문을 연 이래 3대에 걸쳐 독특한 맛과 명성을 이어가는 곳으로 매장이 넓고 단체석이 있어서 단체 손님도 방문할 수 있다. 특제양념을 통해 매콤함과 감칠맛을 느낄 수 있는 비빔냉면이 시그니처이다. 주요 메뉴로는 물냉면, 회냉면, 만두 등이 있다. 미쉐린 가이드가 선정한 2022년 서울 맛집 중의 하나이다. 근처에 광장시장, 동대문디자인플라자가 있어서 식사 후 방문할 수 있다."
2685324,39,A05,A0502,A05020100,공항칼국수,1,1004,서울특별시 강서구 남부순환로 5 ,20201124230550,20221111120022,126.8077700704,37.5613101356,6.0,http://tong.visitkorea.or.kr/cms/resource/35/2685035_image2_1.jpg,음식,한식,21864,김포공항근처 연예인이 많이 찾는 칼국수전문점이다. 서울특별시 강서구에 있는 한식전문점이다. 대표메뉴는 버섯칼국수이다.
2832955,39,A05,A0502,A05020100,신토불이떡볶이본점,1,1006,서울특별시 광진구 자양로43길 42 ,20220805114915,20220805114926,127.090463996,37.5525995461,6.0,http://tong.visitkorea.or.kr/cms/resource/53/2832953_image2_1.jpg,음식,간이음식,20577,"신토불이떡볶이 본점은 아차산역 1번출구 도보로 2분 거리에 있다. 항상 줄 서서 먹는 집으로 유명하다. 이곳의 대표 음식은 물론 떡볶이다. 주재료인 떡살은 두툼하고 쫄깃해 식감이 좋고 양은 푸짐하다. 이곳 떡볶이는 처음엔 달콤하다가 매콤해지면서 중독성을 띠는 맛이다. 원래도 유명했지만, 한 방송에서 여배우가 좋아하는 떡볶이집이라는 것이 알려지면서 더욱 유명해졌다. 서울어린이 대공원이나 아차산 생태공원에서 가족끼리 즐거운 시간을 보낸 후 들러서 즐기기 좋다. 주차시설은 따로 없지만, 지하철역에서 가까워 대중교통 접근성이 좋다.
※ 반려동물 동반 불가"
697423,39,A05,A0502,A05020100,우정,1,1024,서울특별시 중구 퇴계로76길 55 (신당동),20090221022320,20230610065516,127.0149678028,37.5628414413,6.0,http://tong.visitkorea.or.kr/cms/resource/21/696321_image2_1.jpg,음식,간이음식,20518,"우정은 서울 중구 신당역 인근에 위치한 분식 전문점이다. 1970년대에 개업하여 현재까지 자리를 지키고 있다. 오래된 음식점이지만 깔끔한 내부를 유지하고 있다. 대표 메뉴는 즉석떡볶이와 매운닭발로 대중적인 음식과 맛으로 사람들의 발길이 끊이지 않고 있다. 최근 ‘백종원의 3대 천왕’ 프로그램에 소개되었다. 이곳은 새벽 3시까지 영업하여 현지인들이 야식 맛집으로 즐겨 찾는다. 주변 관광지로 충무아트센터, 동대문역사문화공원 등이 있다."
2014139,39,A05,A0502,A05020200,울프강스테이크하우스,1,1001,서울특별시 강남구 선릉로152길 21 ,20150707203502,20230803133036,127.041477586,37.5244991499,6.0,http://tong.visitkorea.or.kr/cms/resource/82/2014182_image2_1.jpg,음식,전문음식,20109,"울프강 스테이크하우스는 미국의 전통 있는 스테이크하우스인 '피터 루거 스테이크하우스'에서 40여 년간 헤드 웨이터로 근무했던 울프강 즈위너 (Wolfgang Zwiener)가 지난 경험과 노하우를 살려 설립한 미국의 대표적인 스테이크하우스다. 울프강 스테이크하우스는 미국 내에서 3%만 해당하는 최고급 소고기인 USDA 프라임 등급 블랙 앵거스 품종으로 28일간 드라이 에이징으로 숙성된 스테이크만을 제공하며, 현재 울프강 스테이크하우스는 세계 총 13개 지점을 두고 있다. 

울프강 스테이크하우스는 복층, 250평 규모로 청담동에 2015년 3월에 문을 열었다. 총 225명가량 수용 가능하며, 1층은 테이블이 세팅된 다이닝 홀과 바(Bar)가 있고 1층과 2층에 총 7개의 프라이빗 룸이 있다. 룸은 6인부터 20인까지 수용 가능하며 비즈니스 미팅, 가족모임 등에 적합한 프라이빗 서비스가 가능하다."
2834396,39,A05,A0502,A05020900,스윗솔트,1,1002,서울특별시 강동구 상암로 286 ,20220809112341,20220916135921,127.1541417341,37.5455292933,6.0,http://tong.visitkorea.or.kr/cms/resource/88/2834388_image2_1.jpg,음식,전문음식,20084,"스윗솔트는 서울 강동구의 길동 공원, 길동생태공원, 승상산이 3면으로 둘러싸여진 숲속의 카페이다. 오전 9시부터 개점한다. 일반적인 브런치 카페보다 일찍 영업을 시작해서 아침 운동을 하면서 들리거나 자녀 등원 후 찾는 학부모가 많다. 건물이 푸른 나무들에 둘러싸여 있고, 건물의 세 면에 큰 유리창을 설치해 카페 안에서도 자연 속에 있는 듯한 느낌이 들게끔 공간이 구성되어 있다. 식사류는 브런치세트, 햄버거, 파스타 등 여러 가지가 호불호를 가리지 않는 맛으로 인기가 많다. 특별한 음료인 칼라만시에이드, 루이보스 밀크티를 빵과 같이 먹는 것도 별미다.
※반려동물 동반 가능
※참고사항 : 배달 가능"
2835042,39,A05,A0502,A05020100,홍능갈비집본점,1,1011,서울특별시 동대문구 제기로 85 ,20220809162239,20220809162250,127.0425840484,37.5868946986,6.0,http://tong.visitkorea.or.kr/cms/resource/04/2835004_image2_1.jpg,음식,한식,19310,"갈비명가 흥능갈비집 본점은 서울특별시 동대문구 청량리동에 있다. 대중교통을 이용할 경우 6호선 고려대역 4번 출구와 가장 가깝다. 60년에 가까운 전통 맛집답게 요즘은 볼 수 없는 네온사인 간판이 입구에 설치돼 있다.
대표 메뉴는 숯불에 구워 먹는 한우 생갈비지만 양념갈비나 불고기도 인기다. 직원이 직접 구워주고 손질해 주기 때문에 타지 않은 상태의 가장 맛있는 고기를 맛볼 수 있다.
공깃밥을 시키면 된장찌개가 함께 나오고 냉면도 많이 찾는 인기 메뉴다. 단체석이 있어 가족모임이나 회식에도 좋다.  가까운 곳에 청량리 통닭 골목과 경동시장 청년몰이 있어 연계 관광도 가능하다."
2840014,39,A05,A0502,A05020100,유천냉면본점,1,1018,서울특별시 송파구 강동대로3길 22 유천칡냉면 ,20220819154027,20220825165138,127.1155929472,37.5285583463,6.0,http://tong.visitkorea.or.kr/cms/resource/07/2840007_image2_1.jpg,음식,한식,19004,"유천냉면 본점은 8호선 강동구청역 4번 출구 부근에 있다. 40년 세월 오랫동안 보리밥과 냉면 판매를 해온 덕에 중소벤처기업부로부터 백년가게 인증을 받았다. 대표 메뉴는 냉면이며 배 한 조각, 오이, 계란 반쪽이 고명으로 올라간다. 물냉면에는 기본 양념장이 들어가는데 주문 시 빼달라고 할 수 있다. 그 외 메밀면과 만두도 인기 메뉴이다. 모든 메뉴는 선불 결제이며, 영수증은 주차 확인증과 같으니 챙겨 두어야 한다. 모든 메뉴가 밀키트 형태로 판매되고 있다. 근방에 올림픽공원, 몽촌역사관이 있어 연계 관광을 할 수 있다."
2778425,39,A05,A0502,A05020100,군산오징어본점,1,1018,서울특별시 송파구 삼학사로 101 (삼전동),20211124185216,20221212155657,127.0970258234,37.5063411468,6.0,,음식,전문음식,18881,"군산오징어 본점은 서울시 송파구 삼전동에 자리 잡고 있다.
대표 메뉴는 오징어불고기로 기호에 따라 매운맛을 조절해서 주문할 수 있다. 이 밖에 오삼불고기, 오징어닭갈비, 오낙불고기, 오징어튀김, 오징어숙회 등 오징어 관련 요리를 판다.
음식점은 서울 지하철 9호선 석촌고분역과 2호선 잠실역에서 가깝다. 주변에는 롯데월드, 롯데월드타워, 석촌호수가 있다."
2836670,39,A05,A0502,A05020100,대도식당왕십리본점,1,1016,서울특별시 성동구 무학로12길 3 대도식당 ,20220816104527,20220816104537,127.0306162501,37.5673273128,6.0,http://tong.visitkorea.or.kr/cms/resource/68/2836668_image2_1.jpg,음식,한식,18390,대도식당 왕십리 본점은 2호선 상왕십리역 2번 출구에서 청계천 방향으로 중간 지점에 있다. 이곳은 왕십리에서 60년 전통의 한우 요리를 맛볼 수 있는 맛집이다. 1964년부터 지금까지 한우 등심 요리 하나로 명맥을 유지한 덕분에 서울미래유산으로 지정되었다. 외부는 단층 건물로 외벽은 하얀색 타일 마감을 해서 깨끗하다. 내부는 깔끔하게 유지되고 있고 고기를 숙성시키는 냉장고가 있어 주문한 고기가 손님상에 나가는지 직접 볼 수 있다. 고기는 생등심과 대패 등심 2가지만 취급한다. 고기를 먹은 뒤 식사할 수 있는 깍두기 볶음밥은 이 집만의 별미다. 인근에 청계천이 있어 가벼운 산책도 할 수 있다.
2739480,39,A05,A0502,A05020300,원조남산왕돈까스,1,1024,서울특별시 중구 소파로 107 (예장동),20210903003808,20230119145941,126.9861344717,37.5574359963,6.0,http://tong.visitkorea.or.kr/cms/resource/93/2790093_image2_1.jpg,음식,전문음식,18152,"남산순환도로인 소파로에서 1977년부터 영업을 시작하여 2대에 걸쳐 한 자리에서 운영하고 있는 남산 옛날 돈가스로 맛집이다. 방송에서도 예능프로그램인 '전지적참견시점', '놀면뭐하니' 등 방송에서도 많이 소개되어 유명하다."
2834380,39,A05,A0502,A05020100,도원한우,1,1002,서울특별시 강동구 진황도로 227 하선빌딩 1층,20220809111031,20221006172800,127.1450153311,37.5264091268,6.0,http://tong.visitkorea.or.kr/cms/resource/70/2834370_image2_1.jpg,음식,한식,18027,"도원한우는 둔촌동에 있는 고깃집으로 9호선 중앙보훈병원역 1번 출구에서 가깝다. 예전 도원한우는 둔촌 현대4차아파트 부근에 있다가 지금 자리로 이전했다. 품질 좋은 한우를 저렴한 가격에 제공하는 강동구 최고의 가성비 한우 맛집이다. 손님들이 많이 찾는 메뉴는 도원한우의 도가니탕, 우족탕, 설렁탕 순서다. 한우집이지만 저녁 메뉴로 돼지 오겹살도 인기다. 도원한우는 가성비도 좋고 맛까지 일품이라 직장인 회식으로도, 가족 모임으로도 많은 사랑을 받고 있다."
2689352,39,A05,A0502,A05020100,어머니대성집,1,1011,서울특별시 동대문구 왕산로11길 4 ,20201130191116,20221111120819,127.0286050321,37.5775316463,6.0,http://tong.visitkorea.or.kr/cms/resource/73/2684573_image2_1.jpg,음식,한식,17981,따뜻한 국물이 생각날 때 방문하기 좋은 매장이다. 대표메뉴는 해장국이다. 서울특별시 동대문구에 있는 한식전문점이다.
2745542,39,A05,A0502,A05020200,세상의모든아침,1,1020,서울특별시 영등포구 여의대로 24 (여의도동),20210915225336,20221024151326,126.9199581632,37.5222305684,6.0,http://tong.visitkorea.or.kr/cms/resource/53/2779853_image2_1.png,음식,전문음식,17684,"여의도 전경련회관 50층에 위치하여 창가석에서는 한강을 바라보면서 식사를 즐길 수 있는 카페 레스토랑이다. 창가석을 이용하기 위해서는 예약이 필요하며, 결혼식, 돌잔치 등 각종 행사 대관이 가능하다. 드라마 펜트하우스 촬영 장소로도 유명하다. 여성 고객들에게 전망 좋은 브런치 식당으로 유명하다."
2852596,39,A05,A0502,A05020100,화목순대국,1,1020,서울특별시 영등포구 여의대방로 383 경도빌딩 1층,20220913170741,20220913170751,126.9315183007,37.5193949937,6.0,http://tong.visitkorea.or.kr/cms/resource/91/2852591_image2_1.jpg,음식,한식,17092,"화목순대국은 지하철 9호선, 신림선 샛강역 2번 출구 부근에 있다. 방문 시 대중교통을 이용하는 게 편리하다. 이곳은 여의도 현지인들과 직장인들 사이에 맛집으로 유명하다. TV 맛집 프로그램에 소개되어 더욱 유명해진 화목순대국의 대표 메뉴는 순대국이고, 그외 내장탕, 순대탕, 모듬안주, 술국, 머리고기, 순대, 내장접시도 인기가 많다 주변에 서울색공원과 여의도 샛강생태공원이 있어 식사 전후에 둘러보기 좋다."
2764169,39,A05,A0502,A05020100,서일순대국,1,1012,서울특별시 동작구 여의대방로24길 10-4 (신대방동),20211028013857,20231013145923,126.9209393125,37.4979639608,6.0,,음식,한식,16840,"서울 동작구 대방동에 있는 고소한 들깨 향이 일품인 30년 전통의 순댓국 전문점이다. 서일순대국 1호점은 오래된 식당 분위기이고, 바로 옆 빌딩 1층에 큰 규모로 2호점이 있다. 안으로 들어가면 깔끔한 식당 내부가 나온다. 다른 밑반찬 없이 야채를 듬뿍 넣어 잡내를 뺀 순댓국 맛으로만 승부를 보는 집으로, 함께 제공되는 깍두기와 겉절이도 맛이 좋아 인기다. 우거지를 듬뿍 넣어 아삭아삭한 식감을 느낄 수 있는 야채순대도 인기 메뉴다. TV프로그램 <수요미식회>, <생생정보통>에 소개되었다. 지하철 7호선 보라매역 2번 출구에서 250m 거리 대방천사거리 인근에 있다."
2039547,39,A05,A0502,A05020200,금왕돈까스,1,1017,서울특별시 성북구 성북로 138 ,20151109192130,20230118092501,126.9943687731,37.5948234655,6.0,http://tong.visitkorea.or.kr/cms/resource/55/2028455_image2_1.jpg,음식,전문음식,16304,"직접 만든 스프와 바삭한 튀김, 색다른 돈까스 소스의 조화가 훌륭한 음식점으로 성북동에서 오랜 역사를 자랑한다. 다양한  언론매체를 통해 소개된 바 있는 음식점으로, 식사시간에 방문하면 대기줄이 있을 정도로 유명하다.<br>"
2834536,39,A05,A0502,A05020900,성북동빵공장,1,1017,서울특별시 성북구 대사관로 40 B동,20220809134058,20220916140033,126.9886470404,37.5959482318,6.0,http://tong.visitkorea.or.kr/cms/resource/20/2834520_image2_1.jpg,음식,간이음식,15456,"성북동빵공장은 성북동 북악산 자락 서을아파트와 오스트리아 대사관저 사이에 있는 베이커리 카페다. 
주차시설이 잘되어 있다. 발렛비 2,000원 부담하면 4시간 무료 주차할 수 있다. 빵공장은 지하층을 사용하는데, 이 지대가 이미 높은 지대기이기 때문에 사실 지하가 아니라서 뷰가 상당히 좋다. 빵 종류가 다양하고, 케이크와 쿠키와 커피도 구비돼 있다. 대표메뉴는 자두 얼그레이 에이드, 생크림팡도르, 성북동 식빵이며 주변에 간송미술관, 한국가구박물관, 길상사, 만해한용운심우장 등이 있다."
2758118,39,A05,A0502,A05020100,본가설렁탕,1,1018,서울특별시 송파구 석촌호수로 204 (석촌동),20211018222427,20221226134344,127.0999699991,37.5063689742,6.0,,음식,한식,15399,"잠실동 석촌호수(동호) 길에 대형 건물과 주차장을 보유한 가마솥 설렁탕집이다. 2층 단독 건물로 식당 입구에 있는 커다란 가마솥에서 진한 소고기 육수를 고아내는 장면을 볼 수 있다. 대표메뉴는 가마솥에서 끓여낸 설렁탕이지만, 소고기 내장이 들어가는 본가탕과 선지가 들어가는 해장국, 돌냄비에 나오는 수육도 인기 메뉴다."
2758146,39,A05,A0502,A05020100,주은감자탕,1,1018,서울특별시 송파구 삼학사로 71 (삼전동),20211018224357,20221226115904,127.096825915,37.5037442224,6.0,,음식,한식,15148,"푹 삶은 돼지 등뼈 위에 연하게 삶아진 시래기를 듬뿍 얹어내는 시래기 감자탕 집이다. TV프로그램 <KBS2TV 생생정보>, <맛있는 녀석들>, <수요미식회> 등에 소개되면서 더 유명해졌다. 점심 메뉴 및 해장국은 평일 오전 10시 30분부터 오후 4시까지만 판매하고 있다.
9호선 석촌고분역 1번 출구에서 석촌호수 서로 사거리 방면에 위치해 있다."
2733856,39,A05,A0502,A05020100,백년옥,1,1015,서울특별시 서초구 남부순환로 2407 (서초동),20210813194408,20230921135909,127.0138091056,37.4812620075,6.0,http://tong.visitkorea.or.kr/cms/resource/37/2787337_image2_1.jpg,음식,한식,14884,"예술의 전당 맞은편 도로변에 위치한 백년옥. 1992년에 영업을 개시한 이래로 많은 사랑을 받아온 두부 전문점이다. 1992년 이래 세월이 고스란히 묻어나는 소박한 인테리어의 실내는 테이블석과 방석 자리로 나뉜다. 두부 전문점답게 강원도에서 가지고 온 콩을 이용한 콩비지, 시래기되비지, 신선한 순두부 등 다양한 수제 두부 요리를 내놓는다."
